Rank,Previous Rank,Name,Computer/System Model,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Efficiency [GFlops/Watts],Architecture,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,System Family,Continent
384,319,,"HPE SGI 8600, Xeon Gold 6242R 20C 3.1GHz, Infiniband EDR",HPE,Japan,2020,Research,28240,,1870.73,2801.41,,,Cluster,Intel Cascade lake,3100,RHEL 7.8,Linux,None,20,HPE SGI 8600,Asia
385,320,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",Lenovo,China,2019,Industry,44000,,1861.37,3520,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
386,321,,"Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2019,Industry,46480,44800,1854,4080.048,,,Cluster,Intel Skylake,2300,Linux,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
387,322,,"Inspur TS10000, Xeon Gold 6248 20C 2.5GHz/Platinum 8268 24C 2.9GHz, NVIDIA Tesla V100, 100G Ethernet",Inspur,China,2020,Academic,37440,35200,1853,3432,,,Cluster,Intel Cascade lake,2500,Linux,Linux,NVIDIA Tesla V100,20,Inspur Cluster,Asia
388,323,Santos Dumont (SDumont),"Bull Sequana X1000, Xeon Gold 6252 24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",Atos,Brazil,2019,Academic,33856,29440,1849,2727.027,,,Cluster,Intel Cascade lake,2100,bullx SCS,Linux,NVIDIA Tesla V100 SXM2,24,BullSequana,South America
389,324,Phoenix,"Relion XE2142/XE1114GT, Intel Xeon Gold 6226 12C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand HDR100",Penguin Computing,United States,2020,Research,31104,,1840.89,2687.39,,,Cluster,Intel Cascade lake,2700,Redhat Enterprise Linux 6,Linux,None,12,Penguin Computing Cluster,North America
390,325,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Sugon,China,2019,Industry,55040,,1838,3698.688,600,3.063333333,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,Sugon Cluster,Asia
391,326,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2019,Industry,83200,,1835.52,6123.52,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
392,327,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",Sugon,China,2019,Industry,48000,,1833,3686.4,470,3.9,Cluster,Intel Skylake,2400,CentOS,Linux,None,20,Sugon Cluster,Asia
393,328,Astra,"Apollo 70, Marvell ThunderX2 ARM CN9975-2000  28C 2GHz, 4xEDR Infiniband",HPE,United States,2018,Research,143640,,1833,2298.24,1192.54,1.537055361,Cluster,ThunderX2,2000,Tri-Lab Operating System ,Linux,None,28,HP Apollo,North America
394,329,,"Sugon TC6000, Xeon Gold 5117 14C 2GHz, 25G Ethernet",Sugon,China,2019,Industry,116200,,1832,7436.8,1300,1.409230769,Cluster,Intel Skylake,2000,CentOS,Linux,None,14,Sugon Cluster,Asia
395,330,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2018,Industry,43200,,1831.49,3456,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
396,331,scafellpike,"Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR",Atos,United Kingdom,2017,Research,80640,,1829.86,4329.728,529,3.459092628,Cluster,Intel Xeon Phi,1300,bullx SCS,Linux,None,64,BullSequana,Europe
397,332,,"ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet, NVIDIA Tesla P100",Lenovo,China,2019,Industry,66080,35840,1828.02,4981.76,,,Cluster,Intel Skylake,2000,Linux,Linux,NVIDIA Tesla P100,20,Lenovo ThinkSystem,Asia
398,,A2A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,53760,,1826.56,3612.67,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
399,333,JGV100System,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Sugon,China,2018,Industry,41760,38400,1825,3353.184,240,7.604166667,Cluster,Intel Broadwell,2400,CentOS,Linux,NVIDIA Tesla V100,14,Sugon Cluster,Asia
400,334,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet",Sugon,China,2019,Industry,44100,,1824,3669.12,600,3.04,Cluster,Intel Skylake,2600,CentOS,Linux,None,14,Sugon Cluster,Asia
401,336,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet",Inspur,China,2018,Industry,48880,41600,1820,4140.032,,,Cluster,Intel Skylake,2000,CentOS,Linux,NVIDIA Tesla V100,14,Inspur Cluster,Asia
402,337,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet",Inspur,China,2018,Industry,48880,41600,1820,4140.032,,,Cluster,Intel Skylake,2000,CentOS,Linux,NVIDIA Tesla V100,14,Inspur Cluster,Asia
403,,Snellius Phase 1 GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",Lenovo,Netherlands,2021,Research,6480,3888,1818,3007.07,62.59,29.04617351,Cluster,Intel Ice Lake,2400,CentOS Linux 8.4,Linux,NVIDIA A100 SXM4 40 GB,36,Lenovo ThinkSystem,Europe
404,338,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Sugon,China,2019,Government,54240,,1815,3644.928,600,3.025,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,Sugon Cluster,Asia
405,339,szaisystem,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Infiniband EDR",Sugon,China,2019,Industry,30600,27200,1814,2674.1,180,10.07777778,Cluster,Intel Cascade lake,2500,CentOS,Linux,NVIDIA Tesla V100,20,Sugon Cluster,Asia
406,340,Bank P A2,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Lenovo,China,2019,Industry,36000,24000,1809.34,3021.6,,,Cluster,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100,20,Lenovo ThinkSystem,Asia
407,341,Bank P A2,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Lenovo,China,2019,Industry,36000,24000,1809.34,3021.6,,,Cluster,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100,20,Lenovo ThinkSystem,Asia
408,342,JCSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Sugon,China,2018,Industry,110080,,1807,3698.688,1100,1.642727273,Cluster,Intel Broadwell,2100,Linux,Linux,None,8,Sugon Cluster,Asia
409,343,S1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Lenovo,China,2018,Government,33840,,1804,2923.776,,,Cluster,Intel Skylake,2700,Linux,Linux,None,18,Lenovo ThinkSystem,Asia
410,344,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ",HPE,Sweden,2017,Academic,67456,,1802.51,2438.14,842,2.140748219,MPP,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Cray XC,Europe
411,345,ESSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Sugon,China,2018,Industry,105000,,1790,3696,1100,1.627272727,Cluster,Intel Broadwell,2200,CentOS,Linux,None,10,Sugon Cluster,Asia
412,346,Molecular Simulator,"NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path",NEC,Japan,2017,Research,38552,,1785.62,3072.768,544.48,3.279496033,Cluster,Intel Skylake,2400,CentOS,Linux,None,20,NEC Cluster,Asia
413,347,R1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Lenovo,China,2018,Government,33120,,1768.59,2861.568,,,Cluster,Intel Skylake,2700,Linux,Linux,None,18,Lenovo ThinkSystem,Asia
414,348,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2019,Industry,80000,,1765.81,5888,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
415,349,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Sugon,China,2019,Industry,99360,,1765,7312.896,1320,1.337121212,Cluster,Intel Skylake,2300,Linux,Linux,None,12,Sugon Cluster,Asia
416,350,POD3,"Huawei Cluster, Xeon Gold 6148 20C 2.4GHz, Infiniband",Huawei,United Arab Emirates,2019,Industry,34800,,1756.75,2672.64,,,Cluster,Intel Skylake,2400,CentOS,Linux,None,20,Huawei Cluster,Asia
417,351,QURIOSITY,"Apollo XL230k, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",HPE,Germany,2017,Industry,35280,,1750.18,2709.504,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,HP Apollo,Europe
418,352,CARA,"NEC LX Cluster, AMD Epyc 7601 32C 2.2GHz, Infiniband HDR",NEC,Germany,2019,Research,145920,,1746,2568.192,,,Cluster,AMD Zen (Naples),2200,Linux,Linux,None,32,NEC Cluster,Europe
419,353,,"ThinkSystem SR590, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet",Lenovo,China,2019,Industry,2312800,,1741.02,81410.56,,,Cluster,Intel Haswell,2200,Linux,Linux,None,14,Lenovo ThinkSystem,Asia
420,354,CSystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Sugon,China,2018,Others,97920,,1736,7206.912,1000,1.736,Cluster,Intel Skylake,2300,Linux,Linux,None,12,Sugon Cluster,Asia
421,355,Q1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Lenovo,China,2018,Government,32400,,1735.66,2799.36,,,Cluster,Intel Skylake,2700,Linux,Linux,None,18,Lenovo ThinkSystem,Asia
422,356,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet",Inspur,China,2017,Industry,38400,,1729,3072,,,Cluster,Intel Skylake,2500,CentOS,Linux,None,24,Inspur Cluster,Asia
423,357,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet",Inspur,China,2017,Industry,38400,,1729,3072,,,Cluster,Intel Skylake,2500,CentOS,Linux,None,24,Inspur Cluster,Asia
424,358,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet",Inspur,China,2017,Industry,38400,,1729,3072,,,Cluster,Intel Skylake,2500,CentOS,Linux,None,24,Inspur Cluster,Asia
425,359,Internet Company T DD1,"Lenovo RD350, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Lenovo,China,2018,Industry,118400,,1728.88,3978.24,,,Cluster,Intel Broadwell,2100,Linux,Linux,None,8,Lenovo Cluster,Asia
426,360,Tryton Plus,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",Huawei,Poland,2021,Academic,30432,,1728.34,2824.09,307,5.629771987,Cluster,Intel Cascade lake,2900,CentOS,Linux,None,24,Huawei Cluster,Europe
427,361,,"Huawei X6000, Xeon Gold 6242 16C 2.8GHz, Infiniband EDR",Huawei,Germany,2019,Industry,38400,,1724.45,3440.64,654.6,2.634356859,Cluster,Intel Cascade lake,2800,Linux,Linux,None,16,Huawei Cluster,Europe
428,362,,"PRIMERGY CX2550 M4, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",Fujitsu,Japan,2020,Research,35200,,1715.81,2816,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,20,Fujitsu PRIMERGY,Asia
429,363,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100",Inspur,China,2017,Industry,39680,34720,1714,3149.6,,,Cluster,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Inspur Cluster,Asia
430,364,Puhti,"Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100",Atos,Finland,2019,Academic,40000,,1706.73,2688,585,2.917487179,Cluster,Intel Cascade lake,2100,bullx SCS,Linux,None,20,BullSequana,Europe
431,365,P1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Lenovo,China,2018,Government,31680,,1703.508,2737.152,,,Cluster,Intel Skylake,2700,Linux,Linux,None,18,Lenovo ThinkSystem,Asia
432,366,SwiftLucy,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",HPE,United States,2015,Government,57600,,1703.28,2304,2880,0.5914166667,Cluster,Intel Haswell,2500,Linux,Linux,None,12,HP Cluster Platform 3000BL,North America
433,367,AFI-NITY,"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Fujitsu,Japan,2018,Academic,35200,,1691,2703.36,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,Fujitsu PRIMERGY,Asia
434,368,TaiYi,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Lenovo,China,2018,Academic,32400,,1686.54,2488.32,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
435,,NA-IT1,"ZettaScaler3.0, AMD  EPYC 7702P 64C 1.5GHz, PEZY-SC3, Infiniband EDR",PEZY Computing / Exascaler Inc.,Japan,2021,Research,822400,819200,1684.83,2353.85,21.59,78.03751737,Cluster,AMD Zen-2 (Rome),1500,CentOS,Linux,PEZY-SC3,64,Pezy/Exascaler Cluster,Asia
436,369,,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Lenovo,China,2018,Government,35200,,1684.19,2703.36,,,Cluster,Intel Skylake,2400,CentOS,Linux,None,20,Lenovo ThinkSystem,Asia
437,370,,"ThinkSystem SD650, Xeon Gold 6240 18C 2.6GHz, Infiniband EDR",Lenovo,China,2019,Research,28800,,1683.37,2695.68,,,Cluster,Intel Cascade lake,2600,Linux,Linux,None,18,Lenovo ThinkSystem,Asia
438,371,ISystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Sugon,China,2018,Industry,97920,,1683,3446.784,1050,1.602857143,Cluster,Intel Broadwell,2200,CentOS,Linux,None,12,Sugon Cluster,Asia
439,372,Internet Service D,"Huawei 1288H V5, Xeon Platinum 8160  24C 2.1GHz, Infiniband EDR",Huawei,China,2019,Others,48960,,1671.37,3290.112,524.28,3.187933928,Cluster,Intel Skylake,2100,Linux,Linux,None,24,Huawei Cluster,Asia
440,373,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",HPE,Poland,2015,Academic,55728,2160,1670.09,2348.64,807.6,2.067966815,Cluster,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,HP Apollo,Europe
441,374,O1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Lenovo,China,2018,Government,30960,,1668.16,2674.944,,,Cluster,Intel Skylake,2700,Linux,Linux,None,18,Lenovo ThinkSystem,Asia
442,375,,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet",Lenovo,China,2018,Industry,41760,,1667.72,3207.168,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
443,376,,"Sugon TC6000, AMD Epyc 7501 32C 2GHz, AMD Vega 20, Infiniband HDR",Sugon,China,2019,Industry,100800,89600,1661,2472.96,260,6.388461538,Cluster,AMD Zen (Naples),2000,CentOS,Linux,AMD Vega 20,32,Sugon Cluster,Asia
444,377,Endeavor,"Intel Cluster, Intel Xeon 6245/8280/6230/8268/8260L/8276/9242, Intel Omni-Path",Intel,United States,2011,Industry,31524,,1653.92,2467.699,558.6,2.960830648,Cluster,Intel Cascade lake,2100,Linux,Linux,None,20,Intel Cluster,North America
445,378,Internet Company T Y1,"Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Lenovo,China,2018,Industry,89600,,1653.22,3440.64,,,Cluster,Intel Broadwell,2400,Linux,Linux,None,14,Lenovo Cluster,Asia
446,379,,"ThinkSystem SR570, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet",Lenovo,China,2019,Industry,78400,,1652.49,2759.68,,,Cluster,Intel Haswell,2200,Linux,Linux,None,14,Lenovo ThinkSystem,Asia
447,380,Software Company (M) AA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Australia,2017,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,Oceania
448,381,Software Company (M) CA3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
449,382,Software Company (M) CA2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
450,383,Software Company (M) CA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
451,384,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Canada,2019,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
452,385,Software Company (M) A16,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
453,386,Software Company (M) A15,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
454,387,Software Company (M) A14,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
455,388,Software Company (M) A13,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
456,389,Software Company (M) A11,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
457,390,Software Company (M) A10,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
458,391,Software Company (M) A9,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
459,392,Software Company (M) A8,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
460,393,Software Company (M) A7,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
461,394,Software Company (M) A6,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
462,395,Software Company (M) A4,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
463,396,Software Company (M) A3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
464,397,Software Company (M) A2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2017,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
465,398,Software Company (M) A1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2017,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
466,399,Software Company (M) A12,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
467,400,Software Company (M) A5,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
468,401,Software Company (M) A26,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
469,402,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
470,403,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
471,404,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
472,405,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
473,406,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
474,407,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
475,408,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
476,409,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
477,410,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
478,411,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
479,412,Software Company (M) A38,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
480,413,Software Company (M) A37,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
481,414,Software Company (M) A36,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
482,415,Software Company (M) A35,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
483,416,Software Company (M) A34,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
484,417,Software Company (M) A33,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
485,418,Software Company (M) A32,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
486,419,Software Company (M) A31,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
487,420,Software Company (M) A30,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
488,421,Software Company (M) A29,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
